As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,ACC,AMERICAN CAMPUS COMMUNITIES REIT USD.01,0.0152570500,2115874.6700000000
2020-12-31,BC,BRUNSWICK CORP COMMON STOCK USD.75,0.0152318700,2112381.6800000000
2020-12-31,OSK,OSHKOSH CORP COMMON STOCK USD.01,0.0152259100,2111555.3100000000
2020-12-31,WAL,WESTERN ALLIANCE BANCORP COMMON STOCK USD.0001,0.0152177200,2110419.8500000000
2020-12-31,TNDM,TANDEM DIABETES CARE INC COMMON STOCK,0.0151473000,2100654.4000000000
2020-12-31,SON,SONOCO PRODUCTS CO COMMON STOCK,0.0151318900,2098516.5000000000
2020-12-31,LSI,LIFE STORAGE INC REIT USD.01,0.0151060700,2094936.3300000000
2020-12-31,NVRO,NEVRO CORP COMMON STOCK USD.001,0.0150817800,2091567.3000000000
2020-12-31,CLF,CLEVELAND CLIFFS INC COMMON STOCK USD.125,0.0150354200,2085137.6000000000
2020-12-31,NATI,NATIONAL INSTRUMENTS CORP COMMON STOCK USD.01,0.0150293300,2084293.9000000000
2020-12-31,LEG,LEGGETT + PLATT INC COMMON STOCK USD.01,0.0150288400,2084226.4000000000
2020-12-31,FAF,FIRST AMERICAN FINANCIAL COMMON STOCK USD.00001,0.0149527100,2073667.3200000000
2020-12-31,FLIR,FLIR SYSTEMS INC COMMON STOCK USD.01,0.0149370300,2071493.4600000000
2020-12-31,TWST,TWIST BIOSCIENCE CORP COMMON STOCK USD.00001,0.0148501400,2059443.0400000000
2020-12-31,VNO,VORNADO REALTY TRUST REIT USD.04,0.0148318800,2056911.2400000000
2020-12-31,FRPT,FRESHPET INC COMMON STOCK USD.001,0.0147394200,2044088.0400000000
2020-12-31,BWXT,BWX TECHNOLOGIES INC COMMON STOCK USD.01,0.0146421000,2030592.0800000000
2020-12-31,JBL,JABIL INC COMMON STOCK USD.001,0.0146332300,2029361.4800000000
2020-12-31,HEI,HEICO CORP COMMON STOCK USD.01,0.0145926500,2023734.0000000000
2020-12-31,TW,TRADEWEB MARKETS INC CLASS A COMMON STOCK USD.01,0.0145824400,2022318.3500000000
2020-12-31,AIRC,APARTMENT INCOME REIT CO REIT USD.01,0.0145442700,2017024.3300000000
2020-12-31,SLAB,SILICON LABORATORIES INC COMMON STOCK USD.0001,0.0144527400,2004331.6000000000
2020-12-31,PBCT,PEOPLE S UNITED FINANCIAL COMMON STOCK USD.01,0.0143896200,1995577.4100000000
2020-12-31,HELE,HELEN OF TROY LTD COMMON STOCK USD.1,0.0143313000,1987489.5500000000
2020-12-31,VAC,MARRIOTT VACATIONS WORLD COMMON STOCK USD.01,0.0142996700,1983103.4400000000
2020-12-31,ORI,OLD REPUBLIC INTL CORP COMMON STOCK USD1.0,0.0142783400,1980145.4400000000
2020-12-31,SAIC,SCIENCE APPLICATIONS INTE COMMON STOCK USD.0001,0.0142688400,1978827.7600000000
2020-12-31,TGTX,TG THERAPEUTICS INC COMMON STOCK USD.001,0.0142573100,1977228.1800000000
2020-12-31,TCF,TCF FINANCIAL CORP COMMON STOCK USD1.0,0.0142285500,1973240.0400000000
2020-12-31,HOG,HARLEY DAVIDSON INC COMMON STOCK USD.01,0.0142119400,1970936.8000000000
2020-12-31,WH,WYNDHAM HOTELS + RESORTS INC COMMON STOCK USD.01,0.0142049000,1969960.4800000000
2020-12-31,BRKR,BRUKER CORP COMMON STOCK USD.01,0.0141513700,1962537.2800000000
2020-12-31,PII,POLARIS INC COMMON STOCK USD.01,0.0141344900,1960195.4400000000
2020-12-31,MSA,MSA SAFETY INC COMMON STOCK,0.0141169000,1957755.9500000000
2020-12-31,STWD,STARWOOD PROPERTY TRUST INC REIT USD.01,0.0141093600,1956711.2000000000
2020-12-31,EGP,EASTGROUP PROPERTIES INC REIT,0.0140308100,1945817.6400000000
2020-12-31,BBIO,BRIDGEBIO PHARMA INC COMMON STOCK,0.0139844100,1939383.0300000000
2020-12-31,PSTG,PURE STORAGE INC   CLASS A COMMON STOCK USD.0001,0.0138677700,1923206.6000000000
2020-12-31,,NOV INC COMMON STOCK,0.0137853700,1911778.9300000000
2020-12-31,COR,CORESITE REALTY CORP REIT USD.01,0.0137627400,1908640.8000000000
2020-12-31,NVST,ENVISTA HOLDINGS CORP COMMON STOCK USD.01,0.0137618000,1908510.8600000000
2020-12-31,APA,APACHE CORP COMMON STOCK USD.625,0.0137199700,1902708.7200000000
2020-12-31,FR,FIRST INDUSTRIAL REALTY TR REIT USD.01,0.0137045300,1900568.5600000000
2020-12-31,HALO,HALOZYME THERAPEUTICS INC COMMON STOCK USD.001,0.0136671500,1895384.3800000000
2020-12-31,FEYE,FIREEYE INC COMMON STOCK USD.0001,0.0136640600,1894955.5000000000
2020-12-31,SF,STIFEL FINANCIAL CORP COMMON STOCK USD.15,0.0136329100,1890635.2800000000
2020-12-31,PEGA,PEGASYSTEMS INC COMMON STOCK USD.01,0.0136035300,1886561.8200000000
2020-12-31,MRO,MARATHON OIL CORP COMMON STOCK USD1.0,0.0135172100,1874590.1600000000
2020-12-31,HQY,HEALTHEQUITY INC COMMON STOCK USD.0001,0.0135050100,1872898.5700000000
2020-12-31,INGR,INGREDION INC COMMON STOCK USD.01,0.0134471400,1864872.3500000000
2020-12-31,SSB,SOUTH STATE CORP COMMON STOCK USD2.5,0.0134207900,1861218.9000000000
2020-12-31,BJ,BJ S WHOLESALE CLUB HOLDINGS COMMON STOCK USD.01,0.0133854700,1856320.3200000000
2020-12-31,ATH,ATHENE HOLDING LTD CLASS A COMMON STOCK USD.001,0.0133745400,1854804.3000000000
2020-12-31,MAN,MANPOWERGROUP INC COMMON STOCK USD.01,0.0133402000,1850042.7000000000
2020-12-31,KNX,KNIGHT SWIFT TRANSPORTATION COMMON STOCK USD.001,0.0133193300,1847147.5800000000
2020-12-31,YETI,YETI HOLDINGS INC COMMON STOCK USD.01,0.0133087300,1845677.3200000000
2020-12-31,EVBG,EVERBRIDGE INC COMMON STOCK USD.001,0.0133019800,1844741.2500000000
2020-12-31,PRI,PRIMERICA INC COMMON STOCK,0.0132779100,1841403.5700000000
2020-12-31,VRNS,VARONIS SYSTEMS INC COMMON STOCK USD.001,0.0132639500,1839467.2300000000
2020-12-31,MDU,MDU RESOURCES GROUP INC COMMON STOCK USD1.0,0.0132516900,1837768.1400000000
2020-12-31,TPX,TEMPUR SEALY INTERNATIONAL I COMMON STOCK USD.01,0.0132157800,1832787.0000000000
2020-12-31,LSTR,LANDSTAR SYSTEM INC COMMON STOCK USD.01,0.0131648200,1825720.2800000000
2020-12-31,TPTX,TURNING POINT THERAPEUTICS I COMMON STOCK USD.0001,0.0131504600,1823728.9500000000
2020-12-31,TKR,TIMKEN CO COMMON STOCK,0.0131423300,1822601.6000000000
2020-12-31,SYNH,SYNEOS HEALTH INC COMMON STOCK USD.01,0.0131144200,1818730.3500000000
2020-12-31,HBI,HANESBRANDS INC COMMON STOCK USD.01,0.0130409900,1808546.9400000000
2020-12-31,FFIN,FIRST FINL BANKSHARES INC COMMON STOCK USD.01,0.0129848000,1800755.3300000000
2020-12-31,THO,THOR INDUSTRIES INC COMMON STOCK USD.1,0.0129814200,1800286.4000000000
2020-12-31,TXRH,TEXAS ROADHOUSE INC COMMON STOCK USD.001,0.0129006300,1789082.4000000000
2020-12-31,OMCL,OMNICELL INC COMMON STOCK USD.001,0.0128975700,1788658.0600000000
2020-12-31,RBC,REGAL BELOIT CORP COMMON STOCK USD.01,0.0128723900,1785166.1600000000
2020-12-31,RL,RALPH LAUREN CORP COMMON STOCK USD.01,0.0128611100,1783601.8200000000
2020-12-31,INSP,INSPIRE MEDICAL SYSTEMS INC COMMON STOCK USD.001,0.0128588000,1783281.2900000000
2020-12-31,BRKS,BROOKS AUTOMATION INC COMMON STOCK USD.01,0.0128364400,1780180.4500000000
2020-12-31,JEF,JEFFERIES FINANCIAL GROUP IN COMMON STOCK USD1.0,0.0128241900,1778481.6000000000
2020-12-31,EME,EMCOR GROUP INC COMMON STOCK USD.01,0.0127473900,1767830.3400000000
2020-12-31,TOL,TOLL BROTHERS INC COMMON STOCK USD.01,0.0127333400,1765881.8100000000
2020-12-31,DISCA,DISCOVERY INC   A COMMON STOCK USD.01,0.0127279900,1765139.5800000000
2020-12-31,CFR,CULLEN/FROST BANKERS INC COMMON STOCK USD.01,0.0127132300,1763092.7600000000
2020-12-31,CUZ,COUSINS PROPERTIES INC REIT USD1.0,0.0126700800,1757108.5000000000
2020-12-31,DEI,DOUGLAS EMMETT INC REIT USD.01,0.0126056500,1748173.8000000000
2020-12-31,HUN,HUNTSMAN CORP COMMON STOCK USD.01,0.0126017500,1747632.2400000000
2020-12-31,SKX,SKECHERS USA INC CL A COMMON STOCK USD.001,0.0125726200,1743593.1600000000
2020-12-31,GMED,GLOBUS MEDICAL INC   A COMMON STOCK USD.001,0.0125566200,1741374.0000000000
2020-12-31,ZG,ZILLOW GROUP INC   A COMMON STOCK USD.0001,0.0125146000,1735545.9800000000
2020-12-31,DASH,DOORDASH INC   A COMMON STOCK USD.00001,0.0124920100,1732414.0000000000
2020-12-31,NYCB,NEW YORK COMMUNITY BANCORP COMMON STOCK USD.01,0.0124736100,1729862.4000000000
2020-12-31,MORN,MORNINGSTAR INC COMMON STOCK,0.0124716900,1729596.3300000000
2020-12-31,IBKR,INTERACTIVE BROKERS GRO CL A COMMON STOCK USD.01,0.0124702600,1729396.9600000000
2020-12-31,ADPT,ADAPTIVE BIOTECHNOLOGIES COMMON STOCK USD.0001,0.0124453700,1725945.5700000000
2020-12-31,CW,CURTISS WRIGHT CORP COMMON STOCK USD1.0,0.0124343900,1724423.3500000000
2020-12-31,POWI,POWER INTEGRATIONS INC COMMON STOCK USD.001,0.0124258200,1723234.8600000000
2020-12-31,MRCY,MERCURY SYSTEMS INC COMMON STOCK USD.01,0.0124246300,1723070.0200000000
2020-12-31,BRX,BRIXMOR PROPERTY GROUP INC REIT USD.01,0.0124217700,1722672.9500000000
2020-12-31,PACB,PACIFIC BIOSCIENCES OF CALIF COMMON STOCK USD.0001,0.0124184200,1722208.4800000000
2020-12-31,PNFP,PINNACLE FINANCIAL PARTNERS COMMON STOCK USD1.0,0.0124173200,1722056.0000000000
2020-12-31,RAMP,LIVERAMP HOLDINGS INC COMMON STOCK USD.1,0.0123505300,1712792.3800000000
2020-12-31,IDA,IDACORP INC COMMON STOCK,0.0123415100,1711542.6900000000
2020-12-31,SAIL,SAILPOINT TECHNOLOGIES HOLDI COMMON STOCK USD.0001,0.0123385600,1711133.6000000000
2020-12-31,ALSN,ALLISON TRANSMISSION HOLDING COMMON STOCK USD.01,0.0123090600,1707042.2700000000
2020-12-31,ESNT,ESSENT GROUP LTD COMMON STOCK USD.015,0.0122586400,1700049.6000000000
2020-12-31,NCR,NCR CORPORATION COMMON STOCK USD.01,0.0122401700,1697487.7400000000
2020-12-31,AL,AIR LEASE CORP COMMON STOCK USD.01,0.0122284800,1695866.7600000000
